part_id,part_name,manufacturer,price,compatible_car_model
357010,Radiator Fan,Honda,827.94,Truck
210658,Tire,Changan,378.07,Kia Sportage
394413,Ignition Coil,Suzuki,203.76,Suzuki Mehran
966234,Shocck Absorber,Nissan,140.3,Suzuki Cultus
288152,Radiator,Kia,710.45,Hyundai Tucson
285455,Tail Light,Proton,828.87,Suzuki Cultus
460742,Water Pump,Hyundai,312.71,Suzuki Alto
200385,Wheel Rim,Honda,465.42,Honda City
4925,Fuel Injector,Nissan,969.2,Honda BR-V
987523,Oil Filter,United Motors,317.04,Kia Sorento
861062,Starter Motor,United Motors,595.71,Suzuki Wagon R
726514,AC Compressor,Kia,404.32,Suzuki Alto
397872,Tire,Ghandhara Nissan,834.26,Nissan Sunny
671087,Wheel Rim,Nissan,615.21,Suzuki Wagon R
318059,Steering Wheel,Ghandhara Nissan,510.01,Hyundai Sonata
884096,Brake Pad,Kia,12.18,Suzuki Bolan
858786,Spark Plug,Hino Pak,790.64,Changan Alsvin
8598,Fuel Tank,Kia,70.2,Suzuki Bolan
203419,Fuel Tank,Proton,867.67,Suzuki Swift
119200,Fuel Pump,Proton,957.1,Suzuki Mehran
928993,Clutch Kit,Hyundai,994.6,Honda BR-V
856667,Fuel Injector,Nissan,309.47,Suzuki Cultus
667223,Tire,Hino Pak,143.69,MG HS
149411,Water Pump,Toyota,549.15,Hyundai Elantra
293330,Water Pump,MG Motors,118.62,Truck
621449,Fuel Tank,Toyota,158.28,Toyota Prius
252535,Fuel Injector,Hyundai,890.9,Suzuki Bolan
582313,Fuel Tank,Kia,580.54,MG HS
793168,Exhaust Pipe,Hyundai,176.69,Toyota Vitz
58534,Wheel Rim,Hyundai,395.4,Honda BR-V
737847,Radiator,United Motors,824.55,Suzuki Alto
955768,Headlight,Proton,216.61,MG HS
315104,Brake Pad,MG Motors,627.29,Hyundai Tucson
698262,Fuel Tank,Ghandhara Nissan,347.08,Suzuki Cultus
821322,Clutch Kit,Hino Pak,498.66,Suzuki Mehran
962159,Fuel Tank,United Motors,621.11,Toyota Hilux
776031,Tail Light,Kia,40.88,Truck
509253,Clutch Kit,Ghandhara Nissan,620.61,Hyundai Tucson
841228,Fuel Injector,Hyundai,575.23,Suzuki Wagon R
756151,Oil Filter,MG Motors,764.01,Kia Picanto
860156,Radiator,Ghandhara Nissan,866.41,Hyundai Elantra
943994,Brake Pad,Nissan,437.21,Suzuki Mehran
22190,AC Compressor,Nissan,593.37,Suzuki Wagon R
737761,Battery,Suzuki,690.99,Hyundai Tucson
2609,Shocck Absorber,MG Motors,527.25,Changan Alsvin
619810,Ignition Coil,Honda,410.32,Kia Picanto
564480,Fuel Pump,Suzuki,100.63,Hyundai Elantra
208506,Wheel Rim,MG Motors,277.75,Nissan Sunny
205308,Alternator,Nissan,883.18,Hyundai Elantra
536909,Thermostat,Prince Motors,880.81,Hyundai Elantra
964877,Tire,Hino Pak,63.96,Truck
485114,Alternator,United Motors,892.71,Suzuki Cultus
436989,Fuel Pump,United Motors,519.29,Truck
953288,Battery,Changan,71.85,Kia Sorento
637321,Clutch Kit,Proton,493.58,Hyundai Elantra
566802,Alternator,Toyota,372.92,Hyundai Elantra
406636,Water Pump,Nissan,398.12,Nissan Sunny
838146,Spark Plug,Prince Motors,574.15,Suzuki Bolan
166395,AC Compressor,Nissan,304.37,Honda City
426490,Alternator,Prince Motors,627.9,Honda City
226974,Air Filter,Kia,614.84,Hyundai Sonata
932394,Exhaust Pipe,United Motors,754.8,Suzuki Mehran
115776,Shocck Absorber,Proton,257.01,Suzuki Mehran
961215,Battery,Hyundai,147.64,Suzuki Cultus
823357,Steering Wheel,Nissan,338.78,Suzuki Cultus
893111,Fuel Injector,Hyundai,611.89,Suzuki Alto
913956,Ignition Coil,United Motors,591.15,Toyota Fortuner
709590,Alternator,Suzuki,228.47,Suzuki Bolan
681947,Thermostat,Ghandhara Nissan,901.74,Truck
130788,Thermostat,Nissan,517.59,Hyundai Sonata
515015,Wheel Rim,Toyota,804.86,Suzuki Bolan
200543,Steering Wheel,Prince Motors,617.63,Toyota Corolla
418313,Spark Plug,Honda,338.12,Toyota Fortuner
360632,Fuel Pump,Proton,445.53,Toyota Prius
572917,Tire,Toyota,842.01,Hyundai Sonata
171092,Brake Pad,Honda,520.83,Nissan Sunny
608177,Radiator,Changan,826.96,Suzuki Bolan
306203,Shocck Absorber,Hyundai,709.82,Hyundai Sonata
599520,Steering Wheel,Kia,88.39,Nissan Sunny
543181,Fuel Injector,Suzuki,474.19,Nissan Sunny
728482,Steering Wheel,Changan,153.74,MG HS
985469,Battery,United Motors,990.76,Toyota Land Cruiser
803523,Radiator Fan,Prince Motors,321.27,Nissan Sunny
94789,Water Pump,Toyota,747.27,Changan Alsvin
737023,Tire,Nissan,145.77,Hyundai Sonata
510520,AC Compressor,Ghandhara Nissan,147.6,Changan Alsvin
6615,Headlight,Ghandhara Nissan,583.92,Kia Sportage
296336,Shocck Absorber,Hyundai,622.9,Honda Civic
168810,Clutch Kit,Toyota,296.36,Changan Alsvin
441372,Starter Motor,United Motors,139.91,Hyundai Sonata
269178,Fuel Tank,Suzuki,537.61,Suzuki Wagon R
317080,Tail Light,Prince Motors,702.4,Hyundai Sonata
646872,Ignition Coil,Kia,578.41,Toyota Fortuner
47606,Wheel Rim,Hino Pak,26.31,Toyota Prius
606389,Exhaust Pipe,Hyundai,465.47,Suzuki Alto
25871,Tail Light,United Motors,349.88,Kia Sportage
435818,Alternator,United Motors,133.88,Nissan Sunny
877767,Tail Light,Honda,12.92,Suzuki Swift
102576,Fuel Tank,Proton,529.92,Nissan Sunny
66515,Spark Plug,Proton,140.0,MG HS
280547,Clutch Kit,Changan,547.57,Suzuki Alto
853269,Water Pump,Proton,515.43,Truck
932753,Radiator Fan,Hino Pak,184.3,Toyota Prius
690903,Radiator Fan,Proton,579.23,Honda City
330752,Clutch Kit,MG Motors,960.76,Toyota Hilux
908954,Headlight,Hino Pak,132.77,Toyota Vitz
116092,Headlight,Changan,572.76,Hyundai Tucson
809045,Fuel Injector,Proton,898.29,Honda City
941392,Fuel Injector,Nissan,107.66,Honda Civic
152946,Thermostat,Nissan,976.88,Toyota Yaris
176234,Spark Plug,Nissan,55.11,Honda BR-V
541063,Starter Motor,Suzuki,58.83,Kia Picanto
368397,Spark Plug,Proton,650.86,Honda BR-V
729179,Ignition Coil,United Motors,126.79,Truck
660924,Spark Plug,Changan,107.55,Changan Alsvin
698251,Radiator,United Motors,867.95,Toyota Prius
630983,Oil Filter,Suzuki,262.54,Truck
251368,Battery,Honda,906.24,Hyundai Tucson
500857,Fuel Tank,Ghandhara Nissan,896.31,Honda BR-V
879326,Headlight,Changan,653.29,Suzuki Bolan
151141,Tire,Hyundai,112.77,Suzuki Swift
572095,Tail Light,Ghandhara Nissan,987.54,Suzuki Wagon R
511632,Thermostat,Nissan,523.25,Toyota Corolla
584782,Starter Motor,Changan,737.35,Hyundai Elantra
427949,Fuel Pump,Suzuki,939.47,Honda BR-V
40539,Headlight,Hyundai,971.68,Toyota Fortuner
22108,Water Pump,Kia,182.52,Kia Sportage
777241,AC Compressor,Ghandhara Nissan,17.17,Kia Sorento
725717,Thermostat,Ghandhara Nissan,864.07,Hyundai Sonata
149093,Starter Motor,Prince Motors,288.93,Suzuki Mehran
698058,Radiator Fan,Honda,657.73,Truck
820048,Thermostat,Kia,114.57,Suzuki Mehran
282843,Alternator,Proton,308.36,Toyota Prius
840256,AC Compressor,Changan,75.13,Changan Alsvin
395761,Spark Plug,Hino Pak,954.69,MG HS
178813,Ignition Coil,Prince Motors,40.27,Honda BR-V
770684,Tire,Honda,32.43,Honda City
30660,Headlight,Changan,782.72,Nissan Sunny
